Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,cross,palleLaterali,perdePalla,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiri,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiave,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,assist,crossRiusciti,crossRiusciti_PERC,traversoni,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliSubiti,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiriDaFuori,tiriDaFuori_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,falliFatti,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,tiriInPorta,tiriInPorta_PERC,passChiaveInArea,passChiaveInArea_PERC,assistInArea,assistInArea_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,ammonizioni,parate,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,interventoNegativo,inFuorigioco,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,uscite,lanciPositivi,lanciPositivi_PERC,interventoPositivo
14686,JOACHIM,ANDERSEN,ANDERSEN J.,31-05-1996,132028,96,83,3,3.61%,69,83.13%,61,1,1.64%,12,1,1,8,14,3,21.43%,1,1,100.00%,23,15,65.22%,5,33.33%,1,6.67%,15,65.22%,10,66.67%,7,30.43%,5,71.43%,0.000,0.000,0.126,0.000,-0.320,0.000,0.000,0.000,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25535,ALEXANDER,BAH,BAH A.,09-12-1997,132028,77,56,6,10.71%,47,83.93%,41,1,2.44%,1,3,4,4,7,3,42.86%,3,1,33.33%,13,11,84.62%,5,45.45%,,,5,38.46%,4,80.00%,3,23.08%,3,100.00%,0.190,0.000,0.688,0.032,0.538,-0.190,0.190,0.000,322,1,1,100.00%,1,100.00%,1,3,50.00%,1,2.44%,1,100.00%,1,1,33.33%,1,2,50.00%,1,1,100.00%,1,7.69%,1,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9556,ANDREAS,CHRISTENSEN,CHRISTENSEN A.,10-04-1996,132028,96,53,1,1.89%,48,90.57%,44,,,1,,,1,4,1,25.00%,,,,8,6,75.00%,2,33.33%,,,7,87.50%,5,71.43%,1,12.50%,1,100.00%,0.035,0.000,0.446,0.000,0.480,-0.035,0.035,0.000,322,1,,,,,1,1,100.00%,1,2.27%,,,,,,,1,100.00%,,,,,,,,,1,100.00%,1,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8400,THOMAS,DELANEY,DELANEY T.,03-09-1991,132028,19,5,1,20.00%,4,80.00%,2,,,,1,1,3,5,1,20.00%,,,,5,2,40.00%,,,1,50.00%,1,20.00%,,,2,40.00%,1,50.00%,0.000,0.000,0.173,0.000,0.173,0.000,0.000,0.000,322,,,,,,,,,,,,,,,,,1,33.33%,,,,1,20.00%,1,2,66.67%,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13573,KASPER,DOLBERG,DOLBERG K.,06-10-1997,132028,37,9,,,8,88.89%,10,,,,1,1,2,2,1,50.00%,,,,8,4,50.00%,1,25.00%,3,75.00%,4,50.00%,2,50.00%,4,50.00%,2,50.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,322,,,,,,,,,,,,,,1,100.00%,,1,50.00%,,,,,,,,,,,1,50.00%,,2,1,50.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7591,CHRISTIAN,ERIKSEN,ERIKSEN C.,14-02-1992,132028,89,60,10,16.67%,45,75.00%,49,2,4.08%,,,,14,4,1,25.00%,,,,9,4,44.44%,,,5,125.00%,,,,,7,77.78%,3,42.86%,0.166,0.466,1.822,0.052,1.626,0.301,0.166,0.000,322,2,1,50.00%,,,4,2,20.00%,6,12.24%,1,16.67%,2,,,,4,28.57%,1,,,1,11.11%,1,2,14.29%,1,50.00%,,,,1,1,100.00%,,,2,100.00%,1,25.00%,1,50.00%,1,50.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25397,MORTEN,HJULMAND,HJULMAND M.,25-06-1999,132028,77,79,3,3.80%,77,97.47%,76,1,1.32%,1,1,1,3,6,4,66.67%,,,,9,4,44.44%,4,100.00%,4,100.00%,2,22.22%,,,5,55.56%,3,60.00%,0.076,0.000,0.698,0.072,0.390,-0.076,0.076,0.000,322,2,,,,,4,2,66.67%,3,3.95%,,,2,,,,,,1,1,100.00%,,,,,,2,100.00%,2,33.33%,1,,,,,,,,1,25.00%,1,50.00%,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
12791,PIERRE-EMILE,HOJBJERG,HOJBJERG P.,05-08-1995,132028,96,62,3,4.84%,57,91.94%,61,,,,1,2,7,3,,,1,1,100.00%,12,1,8.33%,,,10,1000.00%,1,8.33%,,,9,75.00%,1,11.11%,0.000,0.000,0.265,0.022,0.265,0.000,0.000,0.000,322,,,,,,8,2,66.67%,,,,,1,,,,1,14.29%,,,,,,,2,28.57%,,,,,1,,,,,,,,1,12.50%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34734,RASMUS,HOJLUND,HOJLUND R.,04-02-2003,132028,59,13,,,12,92.31%,24,2,8.33%,,,1,11,1,1,100.00%,,,,18,3,16.67%,3,100.00%,15,500.00%,2,11.11%,,,12,66.67%,2,16.67%,0.076,0.368,0.000,0.070,-0.212,0.292,0.076,0.000,322,1,1,100.00%,,,2,,,5,20.83%,1,20.00%,2,,,1,,,,,,1,5.56%,1,,,,,1,100.00%,3,,,,,,1,100.00%,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35022,VICTOR,KRISTIANSEN,KRISTIANSEN V.,16-12-2002,132028,19,4,,,3,75.00%,5,,,1,,,2,,,,,,,2,1,50.00%,,,1,100.00%,,,,,1,50.00%,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,322,,,,,,,,,,,,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
